{\rtf1\ansi\ansicpg1252\cocoartf1348\cocoasubrtf170
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural

\f0\fs24 \cf0 0.000000 0.000000\
4.351348 76.851341\
26.127872 30.304804\
24.077759 32.197777\
31.914936 25.750269\
23.191565 33.072960\
32.794033 25.140284\
20.883091 35.542076\
27.730444 28.937860\
34.280087 24.149805\
19.889118 36.701683\
29.029081 27.893763\
26.385429 30.078852\
28.880383 28.010645\
30.743280 26.593195\
21.945612 34.369316\
17.185520 40.219292\
26.515591 29.965631\
26.127872 30.304804\
30.906626 26.473536\
28.441019 28.359919\
28.296768 28.475916\
29.329922 27.659388\
0.000000 0.000000\
6.287416 66.350243\
20.065046 36.491722\
31.743443 25.871454\
21.357138 35.010735\
30.581236 26.712610\
24.774162 31.535059\
27.316593 29.282190\
28.586363 28.243708\
32.438000 25.385096\
29.635448 27.424067\
30.102755 27.069422\
29.635448 27.424067\
26.256193 30.191919\
33.524357 24.647364\
23.299805 32.964073\
31.404634 26.113031\
23.851795 32.417442\
33.339447 24.771021\
22.453186 33.831444\
33.710857 24.523401\
23.408754 32.855034\
31.573347 25.992365\
24.077759 32.197777\
30.906626 26.473536\
24.077759 32.197777\
32.087852 25.628809\
24.077759 32.197777\
29.482092 27.541834\
23.739935 32.527061\
30.906626 26.473536\
23.964399 32.307671\
25.873943 30.530024\
23.964399 32.307671\
25.133173 31.201563\
25.254498 31.090052\
24.656122 31.645899\
24.191879 32.087700\
23.739935 32.527061\
27.730444 28.937860\
23.739935 32.527061\
29.329922 27.659388\
23.628811 32.636528\
29.482092 27.541834\
21.550867 34.797386\
29.482092 27.541834\
20.976749 35.436028\
29.635448 27.424067\
29.482092 27.541834\
30.102755 27.069422\
0.000000 0.000000\
6.108360 67.154991\
23.191565 33.072960\
27.316593 29.282190\
22.045849 34.261986\
29.329922 27.659388\
26.256193 30.191919\
29.329922 27.659388\
21.070974 35.329857\
29.790001 27.306086\
20.605495 35.859550\
28.880383 28.010645\
19.289310 37.433495\
30.260986 26.950708\
17.113403 40.321526\
31.237289 26.233454\
18.632696 38.264641\
31.573347 25.992365\
24.656122 31.645899\
30.906626 26.473536\
20.883091 35.542076\
31.573347 25.992365\
26.646690 29.852198\
31.071289 26.353632\
0.000000 0.000000\
4.534183 75.649620\
28.732813 28.127283\
30.743280 26.593195\
29.635448 27.424067\
28.011492 28.707300\
29.945765 27.187860\
23.628811 32.636528\
30.420477 26.831781\
24.656122 31.645899\
30.743280 26.593195\
24.191879 32.087700\
30.743280 26.593195\
24.077759 32.197777\
30.906626 26.473536\
31.573347 25.992365\
32.794033 25.140284\
21.945612 34.369316\
33.898968 24.399164\
22.045849 34.261986\
33.524357 24.647364\
22.660770 33.615410\
33.710857 24.523401\
21.453705 34.904106\
33.898968 24.399164\
21.648634 34.690544\
31.914936 25.750269\
21.945612 34.369316\
30.260986 26.950708\
22.453186 33.831444\
31.914936 25.750269\
22.977184 33.290367\
27.453531 29.167627\
0.000000 0.000000\
5.761853 68.791649\
25.623568 30.754541\
29.482092 27.541834\
21.165781 35.223595\
30.260986 26.950708\
21.357138 35.010735\
30.906626 26.473536\
29.945765 27.187860\
30.581236 26.712610\
25.748316 30.642389\
31.237289 26.233454\
26.778738 29.738581\
31.071289 26.353632\
30.420477 26.831781\
30.260986 26.950708\
30.581236 26.712610\
31.404634 26.113031\
29.635448 27.424067\
27.591476 29.052851\
29.178923 27.776667\
25.623568 30.754541\
21.261164 35.117210\
25.012680 31.312891\
30.743280 26.593195\
24.774162 31.535059\
31.237289 26.233454\
28.011492 28.707300\
31.573347 25.992365\
23.851795 32.417442\
32.262199 25.507074\
23.628811 32.636528\
32.974304 25.017481\
22.977184 33.290367\
32.262199 25.507074\
23.299805 32.964073\
31.071289 26.353632\
23.739935 32.527061\
25.499687 30.866571\
23.518421 32.745842\
24.306768 31.977472\
25.012680 31.312891\
20.883091 35.542076\
22.765562 33.507195\
21.357138 35.010735\
29.790001 27.306086\
19.976824 36.596764\
30.906626 26.473536\
20.697470 35.753838\
30.581236 26.712610\
20.514072 35.965172\
30.743280 26.593195\
22.248226 34.046989\
31.404634 26.113031\
25.254498 31.090052\
30.581236 26.712610\
29.178923 27.776667\
32.974304 25.017481\
30.906626 26.473536\
25.499687 30.866571\
29.790001 27.306086\
27.453531 29.167627\
28.880383 28.010645\
29.482092 27.541834\
25.133173 31.201563\
24.077759 32.197777\
30.581236 26.712610\
24.422432 31.867121\
32.974304 25.017481\
23.191565 33.072960\
33.156101 24.894403\
24.538881 31.756586\
31.743443 25.871454\
24.077759 32.197777\
29.029081 27.893763\
23.851795 32.417442\
27.316593 29.282190\
23.851795 32.417442\
26.256193 30.191919\
25.873943 30.530024\
23.851795 32.417442\
28.732813 28.127283\
22.248226 34.046989\
29.029081 27.893763\
21.550867 34.797386\
23.191565 33.072960\
21.747007 34.583611\
29.482092 27.541834\
